quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.0	1	0	0	1/4	4/4	2	1	E.I{		E	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1.0	1	0	1/4	1/2	4/4	2	1	V6		E	I		V6	V		6					M	0	0	5, 2, 1		1	5
2	1.0	1	0	1/2	3/4	4/4	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
3	1.0	2	1	0	0	4/4	2	1	V		E	I		V	V							M	0	0	1, 5, 2		1	1
4	0.5	2	1	1/4	1/4	4/4	2	1	I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
9/2	0.5	2	1	3/8	3/8	4/4	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
5	0.5	2	1	1/2	1/2	4/4	2	1	I6/V		E	I		I6/V	I		6		V			M	0	0	5, 2, 1		1	5
11/2	0.5	2	1	5/8	5/8	4/4	2	1	IV6/V	vi/V	E	I		IV6/V	IV		6		V			M	0	0	4, 1, 0		0	4
6	0.5	2	1	3/4	3/4	4/4	2	1	ii6/V		E	I		ii6/V	ii		6		V			m	0	0	0, 4, 3		3	0
13/2	0.5	2	1	7/8	7/8	4/4	2	1	V/V		E	I		V/V	V				V			M	0	0	2, 6, 3		2	2
7	1.0	3	2	0	0	4/4	2	1	I/V|PAC}		E	I		I/V	I				V	PAC	}	M	0	0	1, 5, 2		1	1
8	1.0	3	2	1/4	1/4	4/4	2	1	I{		E	I		I	I						{	M	0	0	0, 4, 1		0	0
9	1.0	3	2	1/2	1/2	4/4	2	1	V6		E	I		V6	V		6					M	0	0	5, 2, 1		1	5
10	1.0	3	2	3/4	3/4	4/4	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
11	1.0	4	3	0	0	4/4	2	1	V		E	I		V	V							M	0	0	1, 5, 2		1	1
12	0.5	4	3	1/4	1/4	4/4	2	1	I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
25/2	0.5	4	3	3/8	3/8	4/4	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
13	0.5	4	3	1/2	1/2	4/4	2	1	I6/V		E	I		I6/V	I		6		V			M	0	0	5, 2, 1		1	5
27/2	0.5	4	3	5/8	5/8	4/4	2	1	IV6/V	vi/V	E	I		IV6/V	IV		6		V			M	0	0	4, 1, 0		0	4
14	0.5	4	3	3/4	3/4	4/4	2	1	ii6/V		E	I		ii6/V	ii		6		V			m	0	0	0, 4, 3		3	0
29/2	0.5	4	3	7/8	7/8	4/4	2	1	V/V		E	I		V/V	V				V			M	0	0	2, 6, 3		2	2
15	1.0	5	4	0	0	4/4	2	1	I/V|PAC}		E	I		I/V	I				V	PAC	}	M	0	0	1, 5, 2		1	1
16	1.0	5	4	1/4	1/4	4/4	2	1	I6{		E	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
17	1.0	5	4	1/2	1/2	4/4	2	1	IV		E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
18	1.0	5	4	3/4	3/4	4/4	2	1	I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
19	1.0	6	5	0	0	4/4	2	1	IV		E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
20	1.0	6	5	1/4	1/4	4/4	2	1	I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
21	0.5	6	5	1/2	1/2	4/4	2	1	ii		E	I		ii	ii							m	0	0	2, -1, 3		2	2
43/2	0.5	6	5	5/8	5/8	4/4	2	1	V65		E	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
22	1.0	6	5	3/4	3/4	4/4	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
23	1.0	7	6	0	0	4/4	2	1	V|HC}		E	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
24	1.0	7	6	1/4	1/4	4/4	2	1	I6{		E	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
25	1.0	7	6	1/2	1/2	4/4	2	1	ii6		E	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
26	1.0	7	6	3/4	3/4	4/4	2	1	iii6		E	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
27	1.0	8	7	0	0	4/4	2	1	vi		E	I		vi	vi							m	0	0	3, 0, 4		3	3
28	1.0	8	7	1/4	1/4	4/4	2	1	I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
29	1.0	8	7	1/2	1/2	4/4	2	1	IV		E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
30	0.5	8	7	3/4	3/4	4/4	2	1	V(64)		E	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
61/2	0.5	8	7	7/8	7/8	4/4	2	1	V		E	I		V	V							M	0	0	1, 5, 2		1	1
31	1.5	9	8	0	0	4/4	2	1	I|PAC}{		E	I		I	I					PAC	}{	M	0	0	0, 4, 1		0	0
65/2	0.5	9	8	3/8	3/8	4/4	2	1	I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
33	1.0	9	8	1/2	1/2	4/4	2	1	IV		E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
34	0.5	9	8	3/4	3/4	4/4	2	1	I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
69/2	0.5	9	8	7/8	7/8	4/4	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
35	1.0	10	9	0	0	4/4	2	1	IV		E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
36	0.5	10	9	1/4	1/4	4/4	2	1	I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
73/2	0.5	10	9	3/8	3/8	4/4	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
37	0.5	10	9	1/2	1/2	4/4	2	1	IV		E	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
75/2	0.5	10	9	5/8	5/8	4/4	2	1	I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
38	0.5	10	9	3/4	3/4	4/4	2	1	viio6		E	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
77/2	0.5	10	9	7/8	7/8	4/4	2	1	I		E	I		I	I							M	0	0	0, 4, 1		0	0
39	1.0	11	10	0	0	4/4	2	1	V|HC}		E	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
40	1.0	11	10	1/4	1/4	4/4	2	1	I6{		E	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
41	1.0	11	10	1/2	1/2	4/4	2	1	ii6		E	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
42	1.0	11	10	3/4	3/4	4/4	2	1	iii6		E	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
43	1.0	12	11	0	0	4/4	2	1	vi		E	I		vi	vi							m	0	0	3, 0, 4		3	3
44	1.0	12	11	1/4	1/4	4/4	2	1	I6		E	I		I6	I		6					M	0	0	4, 1, 0		0	4
45	1.0	12	11	1/2	1/2	4/4	2	1	ii6		E	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
46	0.5	12	11	3/4	3/4	4/4	2	1	V(64)		E	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
93/2	0.5	12	11	7/8	7/8	4/4	2	1	V		E	I		V	V							M	0	0	1, 5, 2		1	1
47	4.0	13	12	0	0	4/4	2	1	I|PAC}		E	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
